City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
460,ancud,-41.8697,-73.8203,65.41,71,5,9.44,CL,1675878617
461,nha trang,12.25,109.1833,77.0,91,81,4.94,VN,1675878618
462,mehamn,71.0357,27.8492,37.35,75,0,33.38,NO,1675878441
463,amanganj,24.4333,80.0333,62.38,35,0,1.59,IN,1675878619
464,shibetsu,43.659,145.132,17.65,81,84,6.02,JP,1675878619
465,chimoio,-19.1164,33.4833,67.3,98,87,4.34,MZ,1675878620
466,mnogovershinnyy,53.9353,139.9242,-33.52,94,12,3.44,RU,1675878621
467,cockburn town,21.4612,-71.1419,80.56,65,40,11.5,TC,1675878622
468,berezovyy,51.6667,135.7,-22.41,98,91,3.53,RU,1675878623
469,luwuk,-0.9516,122.7875,76.62,80,100,3.71,ID,1675878623
470,lorengau,-2.0226,147.2712,76.15,85,100,7.65,PG,1675878544
471,labuhan,-6.8844,112.2051,77.95,87,97,9.8,ID,1675878625
472,novopokrovka,49.8425,36.5477,18.9,90,6,6.17,UA,1675878626
473,republic,37.12,-93.4802,45.37,85,100,6.91,US,1675878627
474,coihaique,-45.5752,-72.0662,74.01,53,75,9.22,CL,1675878628
475,boa vista,2.8197,-60.6733,87.78,55,75,9.22,BR,1675878629
476,khash,28.2211,61.2158,58.51,54,45,23.94,IR,1675878629
477,portland,45.5234,-122.6762,46.87,91,40,3.44,US,1675878380
478,inta,66.0317,60.1659,29.71,87,100,30.15,RU,1675878630
479,tautira,-17.7333,-149.15,79.7,74,28,7.83,PF,1675878522
480,gaya,24.7833,85.0,58.91,72,0,0.0,IN,1675878631
481,gandia,38.9667,-0.1833,55.26,87,100,1.99,ES,1675878632
482,marawi,7.9986,124.2928,66.4,96,100,0.22,PH,1675878633
483,biak,-0.9131,122.8766,75.18,82,100,4.27,ID,1675878634
484,ruteng,-8.6136,120.4721,62.13,92,82,2.01,ID,1675878635
485,calbuco,-41.768,-73.1273,78.01,73,6,6.53,CL,1675878635
486,santander,43.4647,-3.8044,50.47,83,20,8.05,ES,1675878636
487,husavik,66.0449,-17.3389,20.75,75,63,12.91,IS,1675878636
488,mansfield,53.1333,-1.2,41.4,73,92,3.0,GB,1675878637
489,strezhevoy,60.7333,77.5889,-15.81,100,92,6.44,RU,1675878637
490,norman wells,65.282,-126.8329,-20.16,76,75,3.44,CA,1675878638
491,menongue,-14.6585,17.691,64.6,89,98,4.52,AO,1675878639
492,linxia,35.6003,103.2064,23.95,93,97,1.36,CN,1675878639
493,maragogi,-9.0122,-35.2225,82.02,67,97,8.84,BR,1675878370
494,chegutu,-18.1302,30.1407,62.94,94,93,1.14,ZW,1675878640
495,coolum beach,-26.5333,153.1,77.11,78,95,12.03,AU,1675878640
496,cabra,37.4725,-4.4421,50.85,70,75,1.54,ES,1675878641
497,faya,18.3851,42.4509,59.11,69,97,2.13,SA,1675878641
498,kavieng,-2.5744,150.7967,80.67,78,100,8.86,PG,1675878493
499,rovaniemi,66.5,25.7167,33.21,93,100,26.46,FI,1675878642
500,elizabeth city,36.2946,-76.2511,70.02,51,0,11.5,US,1675878642
501,challans,46.8436,-1.8749,41.92,78,0,7.65,FR,1675878642
502,dali,25.7,100.1833,41.09,60,0,5.37,CN,1675878643
503,manacapuru,-3.2997,-60.6206,80.02,84,99,4.21,BR,1675878643
504,sao felix do xingu,-6.6447,-51.995,79.18,76,96,3.85,BR,1675878644
505,kochi,9.9399,76.2602,78.78,78,82,1.68,IN,1675878644
506,jijiga,9.35,42.8,65.3,55,9,10.96,ET,1675878644
